Namespace(batch_size=256, context=False, cuda=True, dni=False, epochs=3000, log_interval=10, lr=0.1, no_cuda=False, seed=1, test_batch_size=1000)
epoch 308, test Average loss: 0.5797, Accuracy: 8185/10000 81.00%
epoch 309, test Average loss: 0.6132, Accuracy: 8074/10000 80.00%
epoch 310, test Average loss: 0.6023, Accuracy: 8138/10000 81.00%
epoch 311, test Average loss: 0.5776, Accuracy: 8168/10000 81.00%
epoch 312, test Average loss: 0.5645, Accuracy: 8194/10000 81.00%
epoch 313, test Average loss: 0.5424, Accuracy: 8230/10000 82.00%
epoch 314, test Average loss: 0.5472, Accuracy: 8224/10000 82.00%
epoch 315, test Average loss: 0.5574, Accuracy: 8259/10000 82.00%
epoch 316, test Average loss: 0.5290, Accuracy: 8292/10000 82.00%
epoch 317, test Average loss: 0.6613, Accuracy: 8015/10000 80.00%
epoch 318, test Average loss: 0.7003, Accuracy: 7889/10000 78.00%
epoch 319, test Average loss: 0.6252, Accuracy: 8045/10000 80.00%
epoch 320, test Average loss: 0.5567, Accuracy: 8224/10000 82.00%
epoch 321, test Average loss: 0.6044, Accuracy: 8159/10000 81.00%
epoch 322, test Average loss: 0.6339, Accuracy: 8030/10000 80.00%
epoch 323, test Average loss: 0.5650, Accuracy: 8201/10000 82.00%
epoch 324, test Average loss: 0.5639, Accuracy: 8210/10000 82.00%
epoch 325, test Average loss: 0.6914, Accuracy: 7985/10000 79.00%
epoch 326, test Average loss: 0.5633, Accuracy: 8256/10000 82.00%
epoch 327, test Average loss: 0.6777, Accuracy: 7940/10000 79.00%
epoch 328, test Average loss: 0.5168, Accuracy: 8316/10000 83.00%
epoch 329, test Average loss: 0.5927, Accuracy: 8149/10000 81.00%
epoch 330, test Average loss: 0.5878, Accuracy: 8190/10000 81.00%
epoch 331, test Average loss: 0.5856, Accuracy: 8196/10000 81.00%
epoch 332, test Average loss: 0.5787, Accuracy: 8147/10000 81.00%
epoch 333, test Average loss: 0.5676, Accuracy: 8212/10000 82.00%
epoch 334, test Average loss: 0.5376, Accuracy: 8267/10000 82.00%
epoch 335, test Average loss: 0.6024, Accuracy: 8085/10000 80.00%
epoch 336, test Average loss: 0.6011, Accuracy: 8124/10000 81.00%
epoch 337, test Average loss: 0.5468, Accuracy: 8203/10000 82.00%
epoch 338, test Average loss: 0.6487, Accuracy: 7986/10000 79.00%
epoch 339, test Average loss: 0.6238, Accuracy: 8094/10000 80.00%
epoch 340, test Average loss: 0.6131, Accuracy: 8095/10000 80.00%
epoch 341, test Average loss: 0.5914, Accuracy: 8145/10000 81.00%
epoch 342, test Average loss: 0.5318, Accuracy: 8284/10000 82.00%
epoch 343, test Average loss: 0.6299, Accuracy: 8134/10000 81.00%
epoch 344, test Average loss: 0.6058, Accuracy: 8122/10000 81.00%
epoch 345, test Average loss: 0.6610, Accuracy: 8034/10000 80.00%
epoch 346, test Average loss: 0.5611, Accuracy: 8245/10000 82.00%
epoch 347, test Average loss: 0.5897, Accuracy: 8157/10000 81.00%
epoch 348, test Average loss: 0.5746, Accuracy: 8242/10000 82.00%
epoch 349, test Average loss: 0.6031, Accuracy: 8127/10000 81.00%
epoch 350, test Average loss: 0.5679, Accuracy: 8251/10000 82.00%
epoch 351, test Average loss: 0.5724, Accuracy: 8211/10000 82.00%
epoch 352, test Average loss: 0.5699, Accuracy: 8225/10000 82.00%
epoch 353, test Average loss: 0.5512, Accuracy: 8228/10000 82.00%
epoch 354, test Average loss: 0.5328, Accuracy: 8308/10000 83.00%
epoch 355, test Average loss: 0.7712, Accuracy: 7769/10000 77.00%
epoch 356, test Average loss: 0.6404, Accuracy: 8014/10000 80.00%
epoch 357, test Average loss: 0.6154, Accuracy: 8097/10000 80.00%
epoch 358, test Average loss: 0.5779, Accuracy: 8223/10000 82.00%
epoch 359, test Average loss: 0.5410, Accuracy: 8303/10000 83.00%
epoch 360, test Average loss: 0.5827, Accuracy: 8221/10000 82.00%
epoch 361, test Average loss: 0.6170, Accuracy: 8134/10000 81.00%
epoch 362, test Average loss: 0.5480, Accuracy: 8288/10000 82.00%
epoch 363, test Average loss: 0.5602, Accuracy: 8236/10000 82.00%
epoch 364, test Average loss: 0.6608, Accuracy: 8006/10000 80.00%
epoch 365, test Average loss: 0.5575, Accuracy: 8274/10000 82.00%
epoch 366, test Average loss: 0.5656, Accuracy: 8233/10000 82.00%
epoch 367, test Average loss: 0.5621, Accuracy: 8255/10000 82.00%
epoch 368, test Average loss: 0.6037, Accuracy: 8146/10000 81.00%
epoch 369, test Average loss: 0.5407, Accuracy: 8295/10000 82.00%
epoch 370, test Average loss: 0.5852, Accuracy: 8187/10000 81.00%
epoch 371, test Average loss: 0.5993, Accuracy: 8165/10000 81.00%
epoch 372, test Average loss: 0.5681, Accuracy: 8300/10000 83.00%
